sample_id	batch	genotype	treatment	time	replicate
SU_BT549_01_S8	1	wt	dmso	0	1
SU_BT549_02_S9	1	wt	dmso	24	1
SU_BT549_03_S10	1	wt	dmso	48	1
SU_BT549_04_S11	1	wt	rev	24	1
SU_BT549_05_S12	1	wt	rev	48	1
SU_BT549_06_S13	1	stat1	dmso	0	1
SU_BT549_07_S14	1	stat1	dmso	24	1
SU_BT549_08_S15	1	stat1	dmso	48	1
SU_BT549_09_S16	1	stat1	rev	24	1
SU_BT549_10_S17	1	stat1	rev	48	1
SU_BT549_11_S18	1	cgas	dmso	0	1
SU_BT549_12_S19	1	cgas	dmso	24	1
SU_BT549_13_S20	1	cgas	rev	24	1
SU_BT549_14_S21	1	wt	ifng	2	1
SU_BT549_15_S22	1	wt	dmso	0	2
SU_BT549_16_S23	1	wt	dmso	24	2
SU_BT549_17_S24	1	wt	dmso	48	2
SU_BT549_18_S25	1	wt	rev	24	2
SU_BT549_19_S26	1	wt	rev	48	2
SU_BT549_20_S27	1	stat1	dmso	0	2
SU_BT549_21_S28	1	stat1	dmso	24	2
SU_BT549_22_S29	1	stat1	dmso	48	2
SU_BT549_23_S30	1	stat1	rev	24	2
SU_BT549_24_S31	1	stat1	rev	48	2
SU_BT549_25_S32	1	cgas	dmso	0	2
SU_BT549_26_S33	1	cgas	dmso	24	2
SU_BT549_27_S34	1	cgas	rev	24	2
SU_BT549_28_S35	1	wt	ifng	2	2
SU_201007_BT549_Christy_1_S1	2	stat3	dmso	24	1
SU_201007_BT549_Christy_2_S2	2	stat3	dmso	24	2
SU_201007_BT549_Christy_3_S3	2	stat3	rev	24	1
SU_201007_BT549_Christy_4_S4	2	stat3	rev	24	2
SU_201007_BT549_Christy_5_S5	2	cgas+stat1	dmso	24	1
SU_201007_BT549_Christy_6_S6	2	cgas+stat1	dmso	24	2
SU_201007_BT549_Christy_7_S7	2	cgas+stat1	rev	24	1
SU_201007_BT549_Christy_8_S8	2	cgas+stat1	rev	24	2
SU_201007_BT549_Christy_9_S9	2	cgas+stat3	dmso	24	1
SU_201007_BT549_Christy_10_S10	2	cgas+stat3	dmso	24	2
SU_201007_BT549_Christy_11_S11	2	cgas+stat3	rev	24	1
SU_201007_BT549_Christy_12_S12	2	cgas+stat3	rev	24	2
SU_201007_BT549_Christy_13_S13	2	relb	dmso	24	1
SU_201007_BT549_Christy_14_S14	2	relb	dmso	24	2
SU_201007_BT549_Christy_15_S15	2	relb	rev	24	1
SU_201007_BT549_Christy_16_S16	2	relb	rev	24	2
SU_201007_BT549_Christy_17_S17	2	wt	il6	24	1
SU_201007_BT549_Christy_18_S18	2	wt	il6	24	2
SU_201007_BT549_Christy_19_S19	2	wt	il6+rev	24	1
SU_201007_BT549_Christy_20_S20	2	wt	il6+rev	24	2
SU_201007_BT549_Christy_21_S21	2	cgas	il6	24	1
SU_201007_BT549_Christy_22_S22	2	cgas	il6	24	2
SU_201007_BT549_Christy_23_S23	2	cgas	il6+rev	24	1
SU_201007_BT549_Christy_24_S24	2	cgas	il6+rev	24	2
SU_201007_BT549_Christy_25_S25	2	wt	ask	24	1
SU_201007_BT549_Christy_26_S26	2	wt	ask	24	2
SU_201007_BT549_Christy_27_S27	2	wt	ask+rev	24	1
SU_201007_BT549_Christy_28_S28	2	wt	ask+rev	24	2
SU_201007_BT549_Christy_29_S29	2	cgas	ask	24	1
SU_201007_BT549_Christy_30_S30	2	cgas	ask	24	2
SU_201007_BT549_Christy_31_S31	2	cgas	ask+rev	24	1
SU_201007_BT549_Christy_32_S32	2	cgas	ask+rev	24	2
SU_201007_BT549_Christy_33_S33	2	wt	ifna	48	1
SU_201007_BT549_Christy_34_S34	2	wt	ifna	48	2
SU_201007_BT549_Christy_35_S35	2	stat1	ifna	48	1
SU_201007_BT549_Christy_36_S36	2	stat1	ifna	48	2
SU_201007_BT549_Christy_37_S37	2	cgas	ifna	48	1
SU_201007_BT549_Christy_38_S38	2	cgas	ifna	48	2
SU_cGAS_KO_DMSO_1_S1	3	cgas	dmso	48	1
SU_cGAS_KO_DMSO_2_S2	3	cgas	dmso	48	2
SU_cGAS_KO_rev_250nM_1_S3	3	cgas	rev	48	1
SU_cGAS_KO_rev_250nM_2_S4	3	cgas	rev	48	2
SU_STAT3_KO_DMSO_1_S5	3	stat3	dmso	48	1
SU_STAT3_KO_DMSO_2_S6	3	stat3	dmso	48	2
SU_STAT3_KO_rev_250nM_1_S7	3	stat3	rev	48	1
SU_STAT3_KO_rev_250nM_2_S8	3	stat3	rev	48	2
SU_WT_anti_IL6_48h_S9	3	wt	il6Ab	48	1
SU_WT_anti_IL6_72h_S10	3	wt	il6Ab	72	1
SU_WT_anti_IL6_rev_48h_S11	3	wt	il6Ab+rev	48	1
SU_WT_anti_IL6_rev_72h_S12	3	wt	il6Ab+rev	72	1
SU_cGAS_STAT1_KO_DMSO_1_S13	3	cgas+stat1	dmso	48	1
SU_cGAS_STAT1_KO_DMSO_2_S14	3	cgas+stat1	dmso	48	2
SU_cGAS_STAT1_KO_rev_250nM_1_S15	3	cgas+stat1	rev	48	1
SU_cGAS_STAT1_KO_rev_250nM_2_S16	3	cgas+stat1	rev	48	2
SU_WT_IL6_1_S17	3	wt	il6	48	1
SU_WT_IL6_2_S18	3	wt	il6	48	2
SU_WT_rev_IL6_1_S19	3	wt	rev+il6	48	1
SU_WT_rev_IL6_2_S20	3	wt	rev+il6	48	2
SU_cGAS_KO_IL6_1_S21	3	cgas	il6	48	1
SU_cGAS_KO_IL6_2_S22	3	cgas	il6	48	2
SU_cGAS_KO_rev_IL6_1_S23	3	cgas	rev+il6	48	1
SU_cGAS_KO_rev_IL6_2_S24	3	cgas	rev+il6	48	2
SU_cGAS_KO_FT_DMSO_S25	3	cgas	dmso	48	1
SU_cGAS_KO_FT_rev_S26	3	cgas	rev	48	1
